node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
1,0.5878150934174767,2.2341854954152693,1.0959998449805468,2.26364973604278,2.3043990671326102,5.79366553819774,-1.4019702908528284,-1.9566653464306192,-8.851848231451014e-07,-2.309937423407957e-06,5.362165367760787e-07,7.501726977372864e-07
2,0.5941775008773392,2.247326680804965,1.0889988260309507,2.2560477945681443,2.73200916995017,5.642807257339743,-3.006228081108277,-3.2642634017310495,4.083316425313954,-1.5757846464158418,5.679135094695872,-6.28057687819233
3,0.5984778236771731,2.2556970473085567,1.0844668961478365,2.2511847842049484,2.8668468273785197,5.580176133694837,-3.0212496624229392,-3.241967284822184,2.30775935958414,-0.8326702562449251,2.9187692360382673,-3.013089032580093
4,0.6029647849291293,2.2639839844982084,1.0799071858769267,2.246362279466462,2.9912716399319517,5.524558560984856,-3.039770404465324,-3.2149646158375407,2.0641469170187876,-0.6890180472083658,2.9170727307154496,-3.001591778163768
5,0.6076211565149547,2.2721980453111335,1.0753161093919896,2.241583494777759,3.1042111294173718,5.475975987571963,-3.0606815753130845,-3.1858189026229993,1.8210968309981868,-0.5449768149002415,2.915280422205175,-2.99018053103043
6,0.6124296264193614,2.2803499084324996,1.0706923993289348,2.236849127870355,3.2056093562201458,5.434512269387453,-3.0824375598138998,-3.1562079322251053,1.578617043837099,-0.4005068818042317,2.9133964401958754,-2.978861071354409
7,0.6173729954205729,2.28845024467548,1.0660341897279275,2.2321604845612324,3.2955415079211616,5.400162178934547,-3.1054374231327087,-3.1257263290001975,1.3367184312835698,-0.255576175405167,2.9114204468308387,-2.9676342059938916
8,0.6224341393480658,2.2965097554478486,1.0613396023897672,2.227518849569673,3.374057612138777,5.37294612862269,-3.1296893293483454,-3.094388166075743,1.0954173625260066,-0.11016131759986222,2.9093544958049504,-2.956502605518232
9,0.6275960116491668,2.3045391800052575,1.0566067479364196,2.2229254844551374,3.441209408604707,5.352889362788943,-3.1552007342264905,-3.0622088899654445,0.8547443833612146,0.0357463324127204,2.907201779354205,-2.945469029261968
10,0.6328416490620256,2.3125492991789436,1.05183372710463,2.218381625411692,3.49705241985313,5.340019607718807,-3.1819782299292667,-3.0292054163714357,0.6147723025151117,0.182120884357775,2.904969349980291,-2.934538853164525
11,0.6381541926474554,2.3205509262807356,1.0470186345522976,2.21388847959762,3.541656191695352,5.3343585258143795,-3.2100258712840706,-2.9953971081275155,0.3757903196867815,0.3287781618205658,2.9026837628324427,-2.9237339025347153
12,0.6435245428219847,2.32854908937749,1.042160392334,2.2094464645020966,3.580193676790219,5.332049496650687,-3.238792165315188,-2.961310499383537,0.24621109794559395,0.3986949265559284,2.910094282597419,-2.9216499579419613
13,0.6489572194302825,2.336538533561563,1.0372594040764849,2.205054638179516,3.621744073663729,5.326236809556781,-3.2672891203646377,-2.927851610396219,0.30941923517217856,0.3323497426264153,2.934848372842224,-2.9347709949064638
14,0.6544567352615631,2.34451395004068,1.0323160927868045,2.2007120541267176,3.6663029505516724,5.316884952480598,-3.2955040630605232,-2.895023710130238,0.3729501548241888,0.2653998419997192,2.9597106473100165,-2.9478568230086037
15,0.6600275731410915,2.3524699927273973,1.0273308958239418,2.1964177638542557,3.7138503312744104,5.303969062944469,-3.3234274255281506,-2.862828123140788,0.43647174545532863,0.1980712178342741,2.9846549810403737,-2.960877679063851
16,0.6656741802986093,2.360401281007832,1.0223042637928557,2.1921708177919577,3.7643624849632458,5.287466123891455,-3.3510503769228075,-2.8312655700322646,0.49990137154491787,0.13041448184715668,3.0096775234146174,-2.9738235095616434
17,0.671400966347928,2.3683023998711983,1.017236659650746,2.187970266032604,3.817814333699155,5.267353204579352,-3.3783646821520525,-2.800336275564745,0.5632059650194743,0.0624455289355098,3.0347787973219975,-2.986688155413788
18,0.6772123025306255,2.376167899164486,1.0121285579367973,2.1838151589732244,3.8741802952698,5.243606877406482,-3.40536261958743,-2.7700400369388904,0.6263690047042526,-0.005831245736435637,3.059960738052706,-2.9994667439357814
19,0.6831125215662601,2.383992292472657,1.0069804440548138,2.1797045479180146,3.9334346875183006,5.216202968274185,-3.432036945813285,-2.740376249391167,0.6893811905501918,-0.07441637810212476,3.085225851955728,-3.012154955038699
20,0.6891059178685284,2.3917700558137915,1.0017928135826435,2.175637485665553,3.9955519723010022,5.185116433231701,-3.458380877767801,-2.7113439166609923,0.7522369950140455,-0.1433128893953743,3.110576900584355,-3.0247487520276604
21,0.6951967480250114,2.3994956262358045,0.9965661715969241,2.171613027089331,4.060506931208676,5.1503212928592745,-3.484388082529425,-2.6829416554520287,0.8149331577491399,-0.21252520147538767,3.136016758474442,-3.037244265854503
22,0.7013892314933317,2.4071634003603757,0.9913010320074338,2.167630229715159,4.128274809834264,5.11179059708527,-3.510052670911658,-2.6551676975133436,0.8774679517712443,-0.2820585917198485,3.1615483397755373,-3.0496377401502945
23,0.7076875514917556,2.4147677329010757,0.9859979168978793,2.1636881542965574,4.198831447395514,5.069496407983953,-3.535369193170274,-2.6280198909820247,0.9398407981609979,-0.351918891386986,3.1871745559207625,-3.061925503585396
24,0.7140958560751135,2.4223029351731435,0.9806573558712186,2.159785865388035,4.27215340027289,5.023409794215935,-3.5603326359774243,-2.601495701793914,1.0020520544998235,-0.4221123052533022,3.212898288700301,-3.074103955721386
25,0.7206182593941473,2.4297632736070516,0.9752798853982035,2.155922431915502,4.348218064285168,4.9735008335558195,-3.5849384202736667,-2.5755922155886486,1.0641028970988344,-0.4926452967488826,3.2387223715785702,-3.086169560016085
26,0.7272588431408324,2.437142968274703,0.9698660481681965,2.1520969277427118,4.427003798663908,4.919738621319177,-3.60918239974802,-2.5503061403599996,1.1259952574980405,-0.5635245110864625,3.264649575704599,-3.0981188408367983
27,0.7340216581852678,2.44443619143488,0.96441639244146,2.1483084322324255,4.508490053752972,4.862091283202258,-3.633060859853927,-2.525633809971821,1.1877317924749253,-0.6347567220021256,3.2906825987399078,-3.1099483828191152
28,0.7409107264119864,2.45163706610291,0.9589314714022112,2.1445560308008775,4.592657503945279,4.800525991430178,-3.656570517294978,-2.501571188622556,1.249315876145214,-0.7063487942673558,3.3168240554621935,-3.1216548316480024
29,0.7479300427654078,2.458739664648154,0.9534118425117591,2.1408388154640523,4.679488187096554,4.735008983311634,-3.6797085199668578,-2.4781138763021713,1.3107516076801222,-0.7783076576046251,3.3430764695447603,-3.133234895729714
30,0.7550835775158082,2.4657380074217268,0.9478580668610411,2.13715588537429,4.768965651522992,4.665505581403198,-3.7024724473529282,-2.4552571152400287,1.372043830919826,-0.8506402895891922,3.3694422661580465,-3.1446853484424553
31,0.7623752787587504,2.4726260614157645,0.9422707085218376,2.1335063473456968,4.861075111624166,4.591980214541523,-3.724860311400833,-2.4329957973650345,1.4331981637675537,-0.9233537062624794,3.395923765183443,-3.1560030307816413
32,0.7698090751624629,2.479397738954421,0.9366503338959226,2.129889316366899,4.955803613164731,4.514396439012253,-3.746870557894144,-2.4113244727422436,1.49422103618827,-0.9964549598290566,3.4225231749124756,-3.1671848542875414
33,0.7773888789792285,2.4860468964157447,0.9309975110613286,2.126303916099689,5.05314020926084,4.43271695913866,-3.768502068369296,-2.390237358974731,1.5551197360903821,-1.0699511430158037,3.4492425861403655,-3.1782278041691545
34,0.7851185893384265,2.4925673329825067,0.925312809114849,2.12274927936219,5.153076148125957,4.346903646598687,-3.7897541626188147,-2.369728351523529,1.6159024622697855,-1.1438493992282217,3.4760839665405032,-3.1891289425021094
35,0.7930020958404075,2.4989527894192163,0.9195967975097857,2.1192245485952426,5.255605073601584,4.256917557891439,-3.8106266018538806,-2.349791034889735,1.6765783825689864,-1.2181569359440714,3.503049155080604,-3.1998854112303787
36,0.8010432824716728,2.5051969468721342,0.9138500453877884,2.115728876310877,5.360723239332864,4.162718949683793,-3.8311195926352295,-2.3304186945529755,1.7371576926814636,-1.292881034698845,3.53013985592328,-3.2104944343475266
37,0.8092460318624909,2.5112934256897317,0.9080731209033625,2.112261425522021,5.468429737028055,4.064267292455615,-3.85123379175298,-2.311604329480905,1.7976516656870272,-1.368029043202453,3.557357630633652,-3.220953317967286
38,0.8176142299075915,2.517235784263475,0.9022665905391223,2.1088213701530307,5.578726738474462,3.9615212840655705,-3.8709703123858765,-2.2933406649062316,1.8580726750904935,-1.4436083245455724,3.5847038866593617,-3.23125944612253
39,0.8261517707687649,2.5230175178932788,0.8964310184092018,2.1054078954313282,5.691619750098064,3.8544388662140836,-3.890330731982304,-2.2756201649185153,1.9184341720405778,-1.5196261354831273,3.6121798597548582,-3.2414102699799163
40,0.8348625622766173,2.5286320576863397,0.890566965547493,2.102020198261046,5.8071178790158,3.742977246710482,-3.909317102358062,-2.258435044450643,1.978750618320205,-1.5960894359374604,3.6397865903156092,-3.2514032909063695
